"adjective","comparative","superlative","translation","mistakes"
"abgespannt","abgespannter","am abgespanntesten","cansado, fatigado",1.0
"allein","-","-","solo, a solas",1.0
"allgemein","allgemeiner","am allgemeinsten","general, universal, común",1.0
"alt","älter","am ältesten","viejo, grande (edad)",1.0
"angemessen","angemessener","am angemessensten","adecuado, apropiado",1.0
"anspruchsvoll","anspruchsvoller","am anspruchsvollsten","exigente",1.0
"anstrengend","anstrengender","am anstrengendsten","cansador, agotador, duro",1.0
"anwesend","-","-","presente, asistente",1.0
"arm","ärmer","am ärmsten","pobre",1.0
"artig","artiger","am artigsten","bueno, obediente",1.0
"ausführlich","ausführlicher","am ausführlichsten","detallado, pormenorizado",1.0
"beachtlich","beachtlicher","am beachtlichsten","notable, considerable",1.0
"begabt","begabter","am begabtesten","talentoso, dotado",1.0
"behindert","behinderter","am behindertsten","minusválido, discapacitado, impedido",1.0
"bekannt","bekannter","am bekanntesten","conocido",1.0
"beliebt","beliebter","am beliebtesten","estimado, apreciado",1.0
"berühmt","berühmter","am berühmtesten","famoso, célebre",1.0
"besonder","-","-","especial, singular, particular",1.0
"bewusst","bewusster","am bewusstesten","conciente, intencionado",1.0
"billig","billiger","am billigsten","barato",1.0
"bloß","bloßer","am bloßesten","descubierto, desnudo, puro, ",1.0
"breit","breiter","am breitesten","amplio, ancho",1.0
"bundesstaatlich","-","-","federal",1.0
"bürgerlich","-","-","civil",1.0
"christlich","-","-","cristiano",1.0
"clever","cleverer/clevrer","am cleversten","hábil, astuto, listo, agudo",1.0
"demokratisch","-","-","democrático",1.0
"dick","dicker","am dicksten","grueso, gordo",1.0
"direkt","direkter","am direktesten","directo, inmediato",1.0
"dreckig","dreckiger","am dreckigsten","sucio",1.0
"dringend","dringender","am dringendsten","urgente, apremiante, enérgico",1.0
"dunkel","dunkler/dünkler","am dunkelsten","oscuro",1.0
"durchschnittlich","durchschnittlicher","am durchschnittlichsten","medio, promedio",1.0
"edel","edler","am edelsten","noble",1.0
"effizient","effizienter","am effizientesten","eficiente",1.0
"ehrenamtlich","-","-","voluntario (honorífico)",1.0
"ehrlich","ehrlicher","am ehrlichsten","sincero",1.0
"eigen","eigener","am eigensten","propio",1.0
"eindeutig","eindeutiger","am eindeutigsten","claro, inequívoco",1.0
"einfach","einfacher","am einfachsten","simple, fácil",1.0
"einheitlich","-","-","uniforme, unitario",1.0
"einsam","einsamer","am einsamsten","solo, abandonado, aislado",1.0
"einzig","-","-","único, solo",1.0
"einzigartig","-","-","único, sin par",1.0
"erforderlich","erforderlicher","am erforderlichsten","necesario",1.0
"erheblich","erheblicher","am erheblichsten","considerable, notable",1.0
"erlaubt","-","-","permitido",1.0
"erschöpft","erschöpfter","am erschöpftesten","cansado, agotado, fatigado",1.0
"europäisch","-","-","europeo",1.0
"exakt","exakter","am exaktesten","preciso, exacto",1.0
"exekutiv","-","-","ejecutivo",1.0
"extremistisch","extremistischer","am extremistischsten","extremista",1.0
"fantastisch","fantastischer","am fantastischsten","fantástico",1.0
"faul","fauler","am faulsten","perezoso",1.0
"fern","ferner","am fernsten","lejos, de lejos",1.0
"folgend","-","-","siguiente",1.0
"frei","freier","am freiesten/freisten","libre",1.0
"freiheitlich","freiheitlicher","am freiheitlichsten","liberal, libre",1.0
"fremd","fremder","am fremdesten","extraño, ajeno, extranjero",1.0
"friedlich","friedlicher","am friedlichsten","pacífico",1.0
"fröhlich","fröhlicher","am fröhlichsten","alegre",1.0
"früh","früher","am frühesten","temprano",1.0
"frühzeitig","-","-","temprano",1.0
"furchtbar","furchtbarer","am furchtbarsten","terrible, horrible",1.0
"föderal","-","-","federal",1.0
"ganz","-","-","todo, entero",1.0
"gefährlich","gefährlicher","am gefährlichsten","peligroso",1.0
"gegenwärtig","gegenwärtiger","am gegenwärtigsten","actual, presente",1.0
"geheim","-","-","secreto",1.0
"gerade","gerader","am geradesten","derecho, recto",1.0
"gerecht","gerechter","am gerechtesten","justo, merecido",1.0
"gesamt","-","-","todo, total",1.0
"geschickt","geschickter","am geschicktesten","habilidoso, diestro",1.0
"gesetzlich","-","-","legal, legítimo",1.0
"gesund","gesunder/gesünder","am gesundesten/gesündesten","sano, saludable",1.0
"gewaltfrei","-","-","no violento",1.0
"gewiss","gewisser","am gewissesten","cierto, seguro",1.0
"gleich","gleicher","am gleichsten","igual, identico",1.0
