"singular","plural","gender","translation","mistakes"
"-","Vereinten Nationen","p","Naciones Unidas (ONU)",995
"Abkürzung","Abkürzungen","f","abreviatura / atajo",999
"Abschluss","Abschlüsse","m","finalización",999
"Abschottung","Abschottungen","f","aislamiento / sellado",998
"Abstimmung","Abstimmungen","f","votación / coordinación",1000
"Alliierte","Alliierten","m","aliado",1000
"Amt","Ämter","n","oficina publica, administración",1001
"Anforderung","Anforderungen","f","requisito, exigencia",999
"Angebot","Angebote","n","oferta",999
"Angebot","Angebote","n","oferta",1000
"Angst","Ängste","f","miedo / temor",1000
"Anhänger","Anhänger","m","seguidor / partidario / remolque",999
"Antwort","Antworten","f","respuesta",1000
"Arbeiteraufstand","Arbeiteraufstände","m","levantamiento obrero",999
"Aufstand","Aufstände","m","sublevación / levantamiento",997
"Ausgleich","Ausgleiche","m","equilibrio / compensación",1000
"Ausland","-","n","extranjero (el exterior)",998
"Begriff","Begriffe","m","concepto, idea, noción",998
"Behauptung","Behauptungen","f","afirmación, declaración",997
"Behinderung","Behinderungen","f","impedimento, discapacidad",999
"Berufswahl","-","f","elección de profesión",1000
"Besatzungszone","Besatzungszonen","f","zona de ocupación",999
"Beschluss","Beschlüsse","m","decisión / acuerdo / decreto",1000
"Bevölkerung","Bevölkerungen","f","población",1000
"Bewerber","Bewerber","m","candidato, solicitante",999
"Bewerberin","Bewerberinnen","f","candidata,solicitante",999
"Bundesland","Bundesländer","n","estado federado",999
"Bundesregierung","Bundesregierungen","f","gobierno federal",999
"Bundesrepublik","Bundesrepubliken","f","República Federal",1000
"DDR","-","f","RDA (República Democrática Alemana)",998
"Demokratie","Demokratien","f","democracia",999
"Demut","-","f","humildad",999
"Deutschland","-","n","Alemania",1000
"Dienstleistung","Dienstleistungen","f","prestacion de servicio",999
"Diktatur","Diktaturen","f","dictadura",999
"Einbürgerung","Einbürgerungen","f","nacionalización",999
"Einbürgerungstest","Einbürgerungstests","m","prueba de nacionalización",993
"Einheit","Einheiten","f","unidad",999
"Einschränkung","Einschränkungen","f","limitación, restricción",998
"Einwanderung","Einwanderungen","f","inmigración",998
"Eiserner Vorhang","-","m","Telón de Acero",1001
"Entfaltung","Entfaltungen","f","desarrollo / despliegue",999
"Faustrecht","-","n","justicia por mano propia",1002
"Feiertag","Feiertage","m","día festivo",999
"Flugzeug","Flugzeuge","n","avión",1000
"Folter","Foltern","f","tortura",999
"Freizügigkeit","-","f","libertad de residencia, libre circulación",999
"Gebet","Gebete","n","oración / rezo",999
"Gebiet","Gebiete","n","territorio / zona / área",1000
"Gefängnis","Gefängnisse","n","cárcel, prisión",999
"Geheimdienst","Geheimdienste","m","servicio secreto / de inteligencia",1001
"Geldstrafe","Geldstrafen","f","multa",999
"Gemeinderat","Gemeinderäte","m","consejo municipal",1002
"Gericht","Gerichte","n","corte, tribunal, platillo",999
"Gerichtsschöffe","Gerichtsschöffen","m","juez lego (no oficial)",1001
"Gesellschaftsordnung","Gesellschaftsordnungen","f","orden social",997
"Gesetz","Gesetze","n","ley",1000
"Gewissensfreiheit","-","f","libertad de conciencia",998
"Glaubensfreiheit","-","f","libertad de culto",997
"Grab","Gräber","n","tumba / sepultura",998
"Grundgesetz","Grundgesetze","n","ley básica, constitución",1000
"Grundlage","Grundlagen","f","base / fundamento",999
"Gründungsmitglied","Gründungsmitglieder","n","miembro fundador",1000
"Jude","Juden","m","judío",999
"Jura","-","n","Derecho (estudios / leyes)",100
"Kapitalismus","-","m","capitalismo",999
"Kapitulation","Kapitulationen","f","capitulación / rendición",1000
"Kenntnis","Kenntnisse","f","conocimiento, saber",100
"Landesamt","Landesämter","n","oficina estatal",999
"Landtransport","Landtransporte","m","transporte terrestre",1000
"Landweg","Landwege","m","vía terrestre",998
"Lebensverhältnis","Lebensverhältnisse","n","condición de vida",999
"Luftbrücke","Luftbrücken","f","puente aéreo",1000
"Macht","Mächte","f","poder / fuerza / potencia",1002
"Marktwirtschaft","Marktwirtschaften","f","economía de mercado",1000
"Marktwirtschaft","Marktwirtschaften","f","economía de mercado",999
"Mauerfall","-","m","caída del muro",1000
"Meinungsfreiheit","-","f","libertad de expresión",999
"Meinungsäußerung","Meinungsäußerungen","f","expresión, opinión",1000
"Mensch","Menschen","m","persona",999
"Menschenwürde","-","f","dignidad humana",998
"Merkmal","Merkmale","n","caracteristica",1000
"Militärdienst","-","m","servicio militar",1000
"Ministerium","Ministerien","n","ministerio",1000
"Mitglied","Mitglieder","n","miembro",1002
"Monarchie","Monarchien","f","monarquía",1000
"Musiker","Musiker","m","músico",999
"Nachfrage","Nachfragen","f","demanda",998
"Nachfrage","Nachfragen","f","demanda",1000
"Nachweis","Nachweise","m","comprobante",1000
"Nationalsozialismus","-","m","nacionalsocialismo",999
"Pakt","Pakte / Pakte","m","pacto",997
"Parlament","Parlamente","n","parlamento",1000
"Partei","Parteien","f","partido político",1000
"Person","Personen","f","persona",998
"Planwirtschaft","Planwirtschaften","f","economía planificada",1000
"Politiker","Politiker","m","político (hombre)",997
"Politikerin","Politikerinnen","f","política (mujer)",999
"Pressefreiheit","-","f","libertad de prensa",1000
"Pressezensur","Pressezensuren","f","censura de prensa",998
"Prügelstrafe","Prügelstrafen","f","castigo corporal",1001
