"singular","plural","gender","translation","mistakes"
"-","Vereinten Nationen","p","Naciones Unidas (ONU)",995
"Abkürzung","Abkürzungen","f","abreviatura, atajo",999
"Abschluss","Abschlüsse","m","finalización",999
"Abschottung","Abschottungen","f","aislamiento, sellado",996
"Abstimmung","Abstimmungen","f","votación, coordinación",1000
"Alliierte","Alliierten","m","aliado",1002
"Amt","Ämter","n","oficina publica, administración",999
"Anforderung","Anforderungen","f","requisito, exigencia",995
"Angebot","Angebote","n","oferta",998
"Angst","Ängste","f","miedo, temor",999
"Anhänger","Anhänger","m","seguidor, partidario, remolque",998
"Antwort","Antworten","f","respuesta",999
"Arbeiteraufstand","Arbeiteraufstände","m","levantamiento obrero",999
"Arbeitgeber","Arbeitgeber","m","empleador, patrón",999
"Arbeitnehmer","Arbeitnehmer","m","empleado, trabajador",1000
"Aufstand","Aufstände","m","sublevación, levantamiento",997
"Ausgleich","Ausgleiche","m","equilibrio, compensación",999
"Ausland","-","n","extranjero (el exterior)",997
"Begriff","Begriffe","m","concepto, idea, noción",997
"Behauptung","Behauptungen","f","afirmación, declaración",997
"Behinderung","Behinderungen","f","impedimento, discapacidad",999
"Behörde","Behörden","f","autoridad, organismo oficial",1000
"Berufswahl","-","f","elección de profesión",999
"Besatzungszone","Besatzungszonen","f","zona de ocupación",998
"Beschluss","Beschlüsse","m","decisión, acuerdo, decreto",999
"Bevölkerung","Bevölkerungen","f","población",1000
"Bewerber","Bewerber","m","candidato, solicitante",997
"Bewerberin","Bewerberinnen","f","candidata,solicitante",999
"Brauch","Bräuche","m","costumbre, tradición",1000
"Bundesland","Bundesländer","n","estado federado",999
"Bundesregierung","Bundesregierungen","f","gobierno federal",998
"Bundesrepublik","Bundesrepubliken","f","República Federal",999
"DDR","-","f","RDA (República Democrática Alemana)",998
"Demokratie","Demokratien","f","democracia",999
"Demut","-","f","humildad",998
"Deutschland","-","n","Alemania",999
"Dienstleistung","Dienstleistungen","f","prestacion de servicio",998
"Diktatur","Diktaturen","f","dictadura",998
"Ehescheidung","Ehescheidungen","f","divorcio",1000
"Einbürgerung","Einbürgerungen","f","nacionalización",998
"Einbürgerungstest","Einbürgerungstests","m","prueba de nacionalización",994
"Einheit","Einheiten","f","unidad",999
"Einschränkung","Einschränkungen","f","limitación, restricción",998
"Einwanderung","Einwanderungen","f","inmigración",998
"Eiserner Vorhang","-","m","Telón de Acero",1001
"Entfaltung","Entfaltungen","f","desarrollo, despliegue",998
"Faustrecht","-","n","justicia por mano propia",1002
"Feiertag","Feiertage","m","día festivo",999
"Firma","Firmen","f","empresa, firma",1000
"Flugzeug","Flugzeuge","n","avión",998
"Folter","Foltern","f","tortura",999
"Freizügigkeit","-","f","libertad de residencia, libre circulación",999
"Gebet","Gebete","n","oración, rezo",998
"Gebiet","Gebiete","n","territorio, zona, área",1002
"Gefängnis","Gefängnisse","n","cárcel, prisión",999
"Geheimdienst","Geheimdienste","m","servicio secreto, servicio de inteligencia",1001
"Geldstrafe","Geldstrafen","f","multa",999
"Gemeinderat","Gemeinderäte","m","consejo municipal",1000
"Gericht","Gerichte","n","corte, tribunal, platillo",999
"Gerichtsschöffe","Gerichtsschöffen","m","juez lego (no oficial)",1000
"Gesellschaftsordnung","Gesellschaftsordnungen","f","orden social",996
"Gesetz","Gesetze","n","ley",999
"Gewissensfreiheit","-","f","libertad de conciencia",996
"Glaubensfreiheit","-","f","libertad de culto",996
"Grab","Gräber","n","tumba, sepultura",998
"Grundgesetz","Grundgesetze","n","ley básica, constitución",999
"Grundlage","Grundlagen","f","base, fundamento",999
"Gründungsmitglied","Gründungsmitglieder","n","miembro fundador",1000
"Jude","Juden","m","judío",997
"Jura","-","n","Derecho",100
"Kapitalismus","-","m","capitalismo",999
"Kapitulation","Kapitulationen","f","capitulación, rendición",999
"Kenntnis","Kenntnisse","f","conocimiento, saber",100
"Landesamt","Landesämter","n","oficina estatal",999
"Landtransport","Landtransporte","m","transporte terrestre",1000
"Landweg","Landwege","m","vía terrestre",997
"Lebensverhältnis","Lebensverhältnisse","n","condición de vida",998
"Luftbrücke","Luftbrücken","f","puente aéreo",1000
"Macht","Mächte","f","poder, fuerza, potencia",1001
"Marktwirtschaft","Marktwirtschaften","f","economía de mercado",998
"Mauerfall","-","m","caída del muro",1000
"Meinungsfreiheit","-","f","libertad de expresión",999
"Meinungsäußerung","Meinungsäußerungen","f","expresión, opinión",999
"Mensch","Menschen","m","persona",999
"Menschenwürde","-","f","dignidad humana",998
"Merkmal","Merkmale","n","caracteristica",999
"Militärdienst","-","m","servicio militar",1001
"Ministerium","Ministerien","n","ministerio",999
"Mitglied","Mitglieder","n","miembro",1002
"Monarchie","Monarchien","f","monarquía",999
"Musiker","Musiker","m","músico",997
"Nachfrage","Nachfragen","f","demanda",997
"Nachweis","Nachweise","m","comprobante",999
"Nationalsozialismus","-","m","nacionalsocialismo",999
"Organisation","Organisationen","f","organización",1002
"Pakt","Pakte","m","pacto",997
"Parlament","Parlamente","n","parlamento",1000
"Partei","Parteien","f","partido político",998
"Person","Personen","f","persona",998
"Pfingsten","-","n","Pentecostés",1000
"Planwirtschaft","Planwirtschaften","f","economía planificada",1000
"Politiker","Politiker","m","político (hombre)",997
